sep=,
Size,Average operations
7210,1.0668e+05
7215,1.0833e+05
7220,1.0712e+05
7225,1.074e+05
7230,1.0888e+05
7235,1.0781e+05
7240,1.0976e+05
7245,1.073e+05
7250,1.0701e+05
7255,1.0933e+05
7260,1.1083e+05
7265,1.1075e+05
7270,1.114e+05
7275,1.0817e+05
7280,1.0826e+05
7285,1.0986e+05
7290,1.0906e+05
7295,1.1031e+05
7300,1.0641e+05
7305,1.0975e+05
7310,1.0995e+05
7315,1.1209e+05
7320,1.1041e+05
7325,1.0976e+05
7330,1.0951e+05
7335,1.0924e+05
7340,1.0909e+05
7345,1.123e+05
7350,1.0994e+05
7355,1.0839e+05
7360,1.1297e+05
7365,1.1363e+05
7370,1.0784e+05
7375,1.1196e+05
7380,1.101e+05
7385,1.1042e+05
7390,1.119e+05
7395,1.0949e+05
7400,1.0945e+05
7405,1.118e+05
7410,1.115e+05
7415,1.1012e+05
7420,1.1159e+05
7425,1.1229e+05
7430,1.1583e+05
7435,1.1365e+05
7440,1.1106e+05
7445,1.1285e+05
7450,1.1242e+05
7455,1.1244e+05
7460,1.1301e+05
7465,1.1118e+05
7470,1.1234e+05
7475,1.0996e+05
7480,1.1251e+05
7485,1.1054e+05
7490,1.1322e+05
7495,1.1281e+05
7500,1.0873e+05
7505,1.1368e+05
7510,1.1181e+05
7515,1.1213e+05
7520,1.1129e+05
7525,1.1318e+05
7530,1.1377e+05
7535,1.1159e+05
7540,1.1258e+05
7545,1.11e+05
7550,1.1422e+05
7555,1.1518e+05
7560,1.1241e+05
7565,1.1338e+05
7570,1.1592e+05
7575,1.1522e+05
7580,1.1486e+05
7585,1.1287e+05
7590,1.129e+05
7595,1.1592e+05
7600,1.1583e+05
7605,1.1442e+05
7610,1.1358e+05
7615,1.1563e+05
7620,1.1527e+05
7625,1.1455e+05
7630,1.14e+05
7635,1.1495e+05
7640,1.1822e+05
7645,1.1538e+05
7650,1.1521e+05
7655,1.1495e+05
7660,1.1261e+05
7665,1.1505e+05
7670,1.1365e+05
7675,1.1608e+05
7680,1.1446e+05
7685,1.1434e+05
7690,1.1582e+05
7695,1.155e+05
7700,1.1642e+05
7705,1.1502e+05
7710,1.1601e+05
7715,1.1404e+05
7720,1.1346e+05
7725,1.1551e+05
7730,1.1627e+05
7735,1.1619e+05
7740,1.1625e+05
7745,1.1786e+05
7750,1.1607e+05
7755,1.1401e+05
7760,1.1458e+05
7765,1.1476e+05
7770,1.1459e+05
7775,1.1546e+05
7780,1.181e+05
7785,1.1623e+05
7790,1.1666e+05
7795,1.1894e+05
7800,1.186e+05
7805,1.1942e+05
7810,1.1532e+05
7815,1.1863e+05
7820,1.1864e+05
7825,1.1921e+05
7830,1.1953e+05
7835,1.1972e+05
7840,1.1783e+05
7845,1.1779e+05
7850,1.1872e+05
7855,1.2198e+05
7860,1.1962e+05
7865,1.2056e+05
7870,1.1863e+05
7875,1.2068e+05
7880,1.2065e+05
7885,1.1863e+05
7890,1.1771e+05
